Sacrifices (feat. Migos) , Big Sean
Plastic 100C , Sampha
(No One Knows Me) Like the Piano , Sampha
Kora Sings , Sampha
Blood On Me , Sampha
Versatile , Kodak Black
On the Regular , Meek Mill
Outro (feat. Lil Snupe & French Montana) , Meek Mill
Litty (feat. Tory Lanez) , Meek Mill
Roll in Peace (feat. XXXTENTACION) , Kodak Black
Batman , Jaden Smith
Horses , PnB Rock, Kodak Black & A Boogie wit da Hoodie
U , Jaden Smith
Drugs , Anderson .Paak
Get Mine (feat. Young Thug) , Bryson Tiller
New Choppa (feat. A$AP Rocky) , Playboi Carti
Big Fish , Vince Staples
Don't Choose , dvsn
Link , K. Forest
Glorious (feat. Skylar Grey) , Macklemore
Night Call (feat. Lil Yachty & Migos) , Steve Aoki
Kolors (feat. Smino) , Monte Booker
RAF (feat. A$AP Rocky, Playboi Carti, Quavo, Lil Uzi Vert & Frank Ocean) , A$AP Mob
Money Problems / Benz Truck , Bryson Tiller
Testimony (feat. Boosie Badazz) , YFN Lucci
Breakfast (feat. A$AP Rocky) , Jaden Smith
Mamacita (feat. Rich Homie Quan & Young Thug) , Travis Scott
Rolex , Ayo & Teo
HUMBLE. , Kendrick Lamar
ROCKABYE BABY (feat. ScHoolboy Q) , Joey Bada$$
Flood Watch (feat. Offset) , Juicy J
Don't Trip , Norman Perry
Day 'n' Nite (Crookers Remix) , Kid Cudi
Havana (feat. Young Thug) , Camila Cabello
Something Like You , Eli Sostre
Cudi Zone , Kid Cudi
Memories (feat. Kid Cudi) , David Guetta
Mr. Rager , Kid Cudi
Lies , Norman Perry
Rose Golden (feat. Willow Smith) , Kid Cudi
Portland (feat. Quavo & Travis Scott) , Drake
Skepta Interlude , Drake
Nothings Into Somethings , Drake
Sacrifices (feat. 2 Chainz & Young Thug) , Drake
Teenage Fever , Drake
Broccoli (feat. Lil Yachty) , D.R.A.M.
Champions , Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travis Scott, Yo Gotti, Quavo & Desiigner
I'm the Man (Remix) [feat. Chris Brown] , 50 Cent
Rambo , Bryson Tiller
Na Na , Trey Songz
November , Tyler, The Creator
Yamborghini High (feat. Juicy J) , A$AP Mob
Domo23 , Tyler, The Creator
Full Speed Ahead , Chiddy Bang
Go Off , Lil Uzi Vert, Quavo & Travis Scott
Tamale , Tyler, The Creator
Drove U Crazy (feat. Bryson Tiller) , Gucci Mane
Cosmic Warrior , Kid Cudi
By Design (feat. Andre Benjamin) , Kid Cudi
Alive , Norman Perry
Complicated , KR
Dawsin's Breek (feat. Jeremih) , Ty Dolla $ign
Cold Summer (feat. Kendrick Lamar, MAC MILLER, Kevin Gates & Rell) , DJ Kay Slay
Where This Flower Blooms (feat. Frank Ocean) , Tyler, The Creator
Get Right Witcha , Migos
Slippery (feat. Gucci Mane) , Migos
What the Price , Migos
Kelly Price (feat. Travis Scott) , Migos
You Know (feat. Belly) , NAV & Metro Boomin
Think About Me , dvsn
Minute (feat. Playboi Carti & Offset) , NAV & Metro Boomin
Issues , Meek Mill
Foreword (feat. Rex Orange County) , Tyler, The Creator
Wedding Crashers (feat. Offset) , Amin
Dear Life , Beck
I Ain't Got Time! , Tyler, The Creator
Fish n Grits (feat. Travis Scott) , Wale
Everyday (feat. Rod Stewart x Miguel x Mark Ronson) , A$AP Rocky
Believe (feat. Quavo & Lil Yachty) , A-Trak
Unforgettable (feat. Swae Lee) , French Montana
Crew (feat. Brent Faiyaz & Shy Glizzy) , GoldLink
Art Exhibit , Young the Giant
Self-Made , Bryson Tiller
Maybach Music V (feat. DeJ Loaf) , Rick Ross
Lamborghini Doors (feat. Meek Mill & Anthony Hamilton) , Rick Ross
GAMBA , BROCKHAMPTON
Scientology , Rick Ross
Game Ain't Based On Sympathy , Rick Ross
All I Need (One Mo Drank) [feat. K CAMP] , Juicy J
California Heaven (feat. ScHoolboy Q) , JAHKOY
Cash Machine , D.R.A.M.
goosebumps , Travis Scott
Tenkkeys (Kklasikk Version) , Spark Master Tape
Bad Tings (feat. Future & Tory Lanez) [Richmix] , Zoey Dollaz
32 Ave Intro , Denzel Curry
Glow Up , Meek Mill
Broke , Lecrae
Floyd Mayweather (feat. Travis Scott, Gucci Mane & Gunna) , Young Thug
Revofev , Kid Cudi
Sky Walker (feat. Travis Scott) , Miguel
Powers That Be (feat. Nas) , Rick Ross
Dead Presidents (feat. Future, Jeezy & Yo Gotti) , Rick Ross
Idols Become Rivals (feat. Chris Rock) , Rick Ross
I Think She Like Me (feat. Ty Dolla $ign) , Rick Ross
She on My Dick (feat. Gucci Mane) , Rick Ross
Surfin' (feat. Pharrell Williams) , Kid Cudi
E , Jaden Smith
Promise , Lupe Fiasco
BagBak , Vince Staples
March Madness , Future
No Favors (feat. Eminem) , Big Sean
Collect Calls (Bonus Track) , Kendrick Lamar
Bad Things , Machine Gun Kelly & Camila Cabello
Look , Russ
Tiimmy Turner (Remix) [feat. Kanye West] , Desiigner
Ballerina , Belly
Chief Don't Run (feat. Roman GianArthur) , Jidenna
Catch Me Outside , Ski Mask the Slump God
Running Back (feat. Lil Wayne) , Wale
For Real , Lil Uzi Vert
Favors (feat. Zoey Dollaz) , Marko Penn
Might Be , DJ Luke Nasty
GAZI , A.CHAL
On and On , Kevin Flum
Change My Ways , Kodak Black
Good Man (feat. Pusha T & Jadakiss) , DJ Khaled
Shadow , TAPZ
Tone it Down (feat. Chris Brown) , Gucci Mane
Guidance (feat. Baba Femi) , K. Forest
12Hrsearlier , Kevin Flum & Mayhem
One Night Savage (feat. MadeinTYO) , A$AP Ferg
Why iii Love the Moon. , Phony Ppl
Shooters , Tory Lanez
George Jeff , Jaden Smith
Falcon (feat. Raury) , Jaden Smith
MFN Right , 2 Chainz
On the Come Up (feat. Big Sean) , Mike WiLL Made-It
Frozen Water (feat. Future) , Belly
Fill the Void (feat. Amir Obe & Daniel Caesar) , Stwo
Father Stretch My Hands, Pt. 1 , Kanye West
Pursuit of Happiness (Nightmare) [feat. MGMT & Ratatat] , Kid Cudi
Sonic Boom , Roy Woods
OMG (feat. Quavo) , Camila Cabello
Fiji , Take A Daytrip & Sam Austins
Free , 6LACK
Ninety , Jaden Smith
Might Not (feat. The Weeknd) , Belly
Switch Up (feat. Lil Wayne & Jeremih) , R. Kelly
Like Me (feat. Jeremih) , Lil Durk
My Moment (feat. 2 Chainz, Meek Mill and Jeremih) , DJ Drama
The Jam , Logic
Trouble on My Mind (feat. Tyler, The Creator) , Pusha T
Telephone Calls (feat. A$AP Rocky, Tyler, the Creator, Playboi Carti & Yung Gleesh) , A$AP Mob
Triple Platinum (feat. Scrilla) , Rick Ross
Free Smoke , Drake
Passionfruit , Drake
No Long Talk (feat. Giggs) , Drake
Jorja Interlude , Drake
Fallen , Jaden Smith
The Passion , Jaden Smith
Jump (feat. Gizzle) , Lupe Fiasco
Down , Marian Hill
Rich As F**k (feat. 2 Chainz) , Lil Wayne
Feel Me (feat. Kanye West) , Tyga
Pick Up the Phone , Lupe Fiasco
Reminder (Remix) [feat. A$AP Rocky & Young Thug] , The Weeknd
Old English , Young Thug, A$AP Ferg & Freddie Gibbs
Body (feat. Migos) , Sean Paul
do re mi , blackbear
New Level (Remix) [feat. Future, A$AP Rocky & Lil Uzi Vert] , A$AP Ferg
Wrong (feat. A$AP Rocky & A$AP Ferg) , A$AP Mob
Overtime , Bryson Tiller
Transforming , KSI
Misunderstood , Kodak Black
No Complaints (feat. Offset & Drake) , Metro Boomin
Re-Up , anders
For Free (feat. Drake) , DJ Khaled
Dynasty , Vic Mensa
Chill Bill (feat. J. Davi$ & Spooks) , Rob $tone
Comfortable , K CAMP
Boss Up (feat. R Lxuise & Elhae) , Dread
Where You Been (feat. Kevin Gates) , Wash
Wrist (feat. Pusha T) , Logic
Baller Alert (feat. Rick Ross & 2 Chainz) , Tyga
Ultimate , Denzel Curry
Long Live the Chief , Jidenna
Don't Hurt Me , DJ Mustard, Nicki Minaj & Jeremih
Pocahontas , Bringhim
Frequency , Kid Cudi
Liger , Young Thug & Carnage
Santorini Greece , Rick Ross
Fake Love , Drake
Ice Melts (feat. Young Thug) , Drake
Do Not Disturb , Drake
Apple of My Eye (feat. Raphael Saadiq) , Rick Ross
Diamonds (feat. A$AP Rocky) , A$AP Twelvyy
Look At Me! , XXXTENTACION
Everyday We Lit (feat. PnB Rock) , YFN Lucci
Talk to Me , Run The Jewels
Call Ticketron , Run The Jewels
Congratulations (feat. Quavo) , Post Malone
Hammer Time (feat. 1K Phew) , Lecrae
iSpy (feat. Lil Yachty) , KYLE
Wild Child (feat. Jake Torrey) , Lupe Fiasco
Onyx , KR
Mutual , Jacob Latimore
Icon , Jaden Smith
Boredom (feat. Rex Orange County and Anna of the North) , Tyler, The Creator
L , Jaden Smith
Gone , No Wyld
Nomads (feat. Oddisee) , No Wyld
Clean , King Midas
Paranoid , No Wyld
Let Me Know , No Wyld
Castro (feat. Kanye West, Big Sean, Quavo & 2 Chainz) , Yo Gotti
White Girls (feat. Travis Scott) , Belly
DNA. , Kendrick Lamar
You're Special , NF
Thinkin Bout You , Frank Ocean
Oui , Jeremih
No Limit (feat. A$AP Rocky & Cardi B) , G-Eazy
Impatient (feat. Ty Dolla $ign) , Jeremih
Spar (feat. 6LACK & Kodak Black) , Dreezy
Patty Cake , Kodak Black
The Spiteful Chant (feat. Schoolboy Q) , Kendrick Lamar
Like Gold , Vance Joy
Homecoming (feat. Chris Martin) , Kanye West & Chris Martin
All Me (feat. 2 Chainz & Big Sean) , Drake
Drowning (feat. Kodak Black) , A Boogie wit da Hoodie
Front & Center , Joey Bada$$
Comin Out Strong (feat. The Weeknd) , Future
4 AM (feat. Travis Scott) , 2 Chainz
Only One Me , Ice Cube
Can Go Bye , YL Vision
Attached , K. Forest
Matrix , A.CHAL
YAH. , Kendrick Lamar
No Hook , DJ Jayp
New Addy , Eli Sostre
Mask Off , Future
It's a Vibe (feat. Ty Dolla $ign, Trey Songz & Jhen Aiko) , 2 Chainz
Trap Trap Trap (feat. Young Thug & Wale) , Rick Ross
Chanel , Frank Ocean
444+222 , Lil Uzi Vert
Get It Together (feat. Black Coffee & Jorja Smith) , Drake
Madiba Riddim , Drake
Blem , Drake
4422 (feat. Sampha) , Drake
Gyalchester , Drake
E.T. (feat. Lil Wayne) , B.o.B
UnFazed (feat. The Weeknd) , Lil Uzi Vert
Rapper , Jaden Smith
Kkam , Spark Master Tape
The Let Out (feat. Quavo) , Jidenna
Believer , Imagine Dragons
Foreign , gianni & kyle
Fuckboi , gianni & kyle
Can't Have (feat. Steven A. Clark & Ape Drums) , Pitbull
Doesn't Matter (feat. Kehlani) , ELHAE
Drama (feat. Drake) , Roy Woods
Soulja Got Me Leanin , Soulja Boy Tell 'Em & Bow Wow
I Know , TYuS
Still Up All Night , Eli Sostre
All Around The World (feat. Desiigner) , Mura Masa
Love$ick (feat. A$AP Rocky) , Mura Masa
From the D to the A (feat. Lil Yachty) , Tee Grizzley
Me You , Russ
Hope , Jaden Smith
Dance with the Devil , Gucci Mane
Hold You Close , Eli Sostre
Summer Bummer (feat. A$AP Rocky & Playboi Carti) , Lana Del Rey
Ride of Your Life , Tinashe
Met Gala (feat. Offset) , Gucci Mane
Drug Dealers Anonymous (feat. JAY Z) , Pusha T
Ex Calling , 6LACK
Two Wrongs (feat. Guordan Banks & Pusha T) , Meek Mill
Gangsta , Kehlani
Don't Ever Play Yourself (feat. Jadakiss, Fabolous, Fat Joe, Busta Rhymes & Kent Jones) , DJ Khaled
Too Many , Russ
M.P.A. (feat. Kanye West, A$AP Rocky & The-Dream) , Pusha T
Tiimmy Turner , Desiigner
Just What I Am (feat. King Chip) , Kid Cudi
Kitchen , Kid Cudi
Brothers (feat. King Chip & A$AP Rocky) , Kid Cudi
Bachelor (feat. A$AP Rocky, Lil Yachty, MadeinTYO & Offset) , A$AP Mob
Skateboard P , MadeinTYO
Since Way Back (feat. PARTYNEXTDOOR) , Drake
Everybody Dies in Their Nightmares , XXXTENTACION
How to Talk , Lil Uzi Vert
Can't Have Everything , Drake
Glow (feat. Kanye West) , Drake
KMT (feat. Giggs) , Drake
Lose You , Drake
I Want (feat. 2 Chainz) , MadeinTYO
Deadz (feat. 2 Chainz) , Migos
Love , Lana Del Rey
Slide (feat. Frank Ocean & Migos) , Calvin Harris
Some Way (feat. The Weeknd) , NAV
Make Love , Gucci Mane & Nicki Minaj
Releaser , Kid Cudi
Lost Boy , Jaden Smith
SYRE , Jaden Smith
Grindin' , Norman Perry
Points , Norman Perry
through the late night , Travis Scott
All I Know (feat. Future) , The Weeknd
Lay Up , Norman Perry
Both (feat. Drake) , Gucci Mane
The Day I Met You , Belly
Unforgettable (feat. Swae Lee) , French Montana
Biking (feat. JAY Z & Tyler, the Creator) , Frank Ocean
Glorious , Belly
DEVASTATED , Joey Bada$$
Need Some (feat. Gucci Mane) , NAV & Metro Boomin
Ski on the Slope (feat. Pusha T) , Tyga
What Are You On? , Roy Woods
Consuela (feat. Young Thug & Zack) , Belly
Bel Air (feat. Quavo) , Tyga
Reminder , The Weeknd
Party Monster , The Weeknd
Watch Me , Jaden Smith
Do You Feel It? , Chaos Chaos
Me and Your Mama , Childish Gambino
Stfu (feat. Spark Master Tape) , mansionz
Did I , Kehlani
